epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,151.471,0.4614,0.76925,0.5016,1.02344,0.71695,0.7541,0.7295,0.57812,0.70136,0.7377,0.72016,0.54869,0.83474,1.63026,1.1149,1.18732,0.0014258,0.0014258,0.0014258
31,156.313,0.4935,0.74386,0.5863,1.02682,0.84611,0.80328,0.84222,0.65001,0.82884,0.78689,0.82734,0.6446,0.75342,1.35841,1.14924,1.13859,0.001406,0.001406,0.001406
32,161.203,0.4568,0.68407,0.55123,1.0504,0.79063,0.80481,0.85647,0.66069,0.79504,0.80328,0.84836,0.63668,0.68435,1.59524,1.09279,1.04218,0.0013862,0.0013862,0.0013862
33,166.082,0.47738,0.77161,0.50305,1.02557,0.81529,0.72364,0.80993,0.6418,0.83349,0.73857,0.819,0.63926,0.77194,1.4815,1.00017,1.20923,0.0013664,0.0013664,0.0013664
34,171.02,0.46298,0.66638,0.5824,1.01179,0.88132,0.85218,0.88368,0.7477,0.86437,0.83579,0.85662,0.69321,0.60506,1.9187,0.72373,0.96317,0.0013466,0.0013466,0.0013466
35,175.932,0.4424,0.59352,0.52262,1.01832,0.92313,0.83607,0.88701,0.73576,0.85094,0.86885,0.86271,0.69636,0.63632,1.61679,0.69795,1.01756,0.0013268,0.0013268,0.0013268
36,180.813,0.44381,0.65402,0.4781,0.98903,0.75684,0.86744,0.8471,0.65634,0.7568,0.76527,0.81374,0.62475,0.76457,1.84679,0.903,1.24846,0.001307,0.001307,0.001307
37,185.714,0.48419,0.82668,0.51197,1.01721,0.76497,0.77049,0.73231,0.53648,0.73428,0.72487,0.70785,0.50108,0.80097,2.07002,1.04947,1.27246,0.0012872,0.0012872,0.0012872
38,190.692,0.44743,0.67585,0.54324,1.02373,0.80046,0.83607,0.82077,0.61521,0.76807,0.80328,0.7692,0.60416,0.72209,1.69271,1.61238,1.12125,0.0012674,0.0012674,0.0012674
39,195.725,0.42193,0.65541,0.51083,0.99464,0.7841,0.77049,0.81057,0.6124,0.7841,0.77049,0.77851,0.58536,0.73136,2.20855,0.99263,1.12771,0.0012476,0.0012476,0.0012476
40,200.816,0.44342,0.71984,0.51642,1.01775,0.88511,0.90164,0.91223,0.77152,0.85265,0.86885,0.88795,0.71854,0.57889,1.61758,0.79061,0.9892,0.0012278,0.0012278,0.0012278
41,205.9,0.55006,0.87594,0.69367,1.15047,0.94704,0.85246,0.90168,0.77936,0.89208,0.80328,0.88848,0.72226,0.57189,1.57223,0.74922,0.95922,0.001208,0.001208,0.001208
42,211.008,0.37988,0.61639,0.45299,0.98073,0.86627,0.84959,0.86949,0.70241,0.82979,0.83607,0.85868,0.65739,0.70611,1.70679,0.84232,1.13755,0.0011882,0.0011882,0.0011882
43,216.078,0.39003,0.65556,0.47661,1.00038,0.88332,0.86873,0.88437,0.68835,0.84251,0.83607,0.86809,0.68503,0.70184,1.50653,0.76313,1.16745,0.0011684,0.0011684,0.0011684
44,221.067,0.38558,0.59314,0.44524,0.9794,0.89739,0.86026,0.88889,0.69795,0.86049,0.78689,0.83979,0.68943,0.66832,1.21,0.88086,1.02931,0.0011486,0.0011486,0.0011486
45,225.969,0.39855,0.59662,0.46451,0.963,0.91519,0.88457,0.9154,0.7741,0.88134,0.8523,0.90481,0.74252,0.61109,1.10455,0.83769,0.97391,0.0011288,0.0011288,0.0011288
46,230.966,0.407,0.67216,0.5137,0.97847,0.88672,0.86885,0.88771,0.72219,0.86929,0.85246,0.87855,0.70446,0.60465,1.44967,0.8665,0.97417,0.001109,0.001109,0.001109
47,235.889,0.38668,0.6057,0.44817,0.97261,0.87625,0.86885,0.86625,0.72929,0.84318,0.83607,0.82703,0.68757,0.61122,1.73949,0.76153,0.9839,0.0010892,0.0010892,0.0010892
48,240.802,0.39231,0.52235,0.46104,0.96828,0.83057,0.88525,0.88163,0.67942,0.88317,0.74361,0.81064,0.68413,0.66682,1.30807,0.90835,1.04341,0.0010694,0.0010694,0.0010694
49,245.738,0.39098,0.57551,0.44909,0.98797,0.871,0.81967,0.87126,0.76175,0.87328,0.80328,0.85567,0.72118,0.58551,1.38604,0.92368,1.02731,0.0010496,0.0010496,0.0010496
50,250.666,0.37438,0.53713,0.41451,0.98619,0.85913,0.85246,0.86258,0.72184,0.9291,0.7541,0.83988,0.69913,0.6759,1.35346,1.00241,1.12043,0.0010298,0.0010298,0.0010298
51,255.56,0.38764,0.56446,0.432,0.97659,0.92792,0.85246,0.86134,0.77205,0.92792,0.85246,0.87405,0.71699,0.57306,1.43634,0.80773,1.02851,0.00101,0.00101,0.00101
